"x","y","color","pen down?"
"462","824","15","true"
"463","1321","15","true"
"464","1302","15","true"
"465","1184","15","true"
"466","522","15","true"
"467","15","15","true"
"468","0","15","true"
"469","0","15","true"
"470","0","15","true"
"471","0","15","true"
"472","2","15","true"
"473","7","15","true"
"474","19","15","true"
"475","33","15","true"
"476","125","15","true"
"477","683","15","true"
"478","1375","15","true"
"479","1383","15","true"
"480","1289","15","true"
"481","726","15","true"
"482","22","15","true"
"483","0","15","true"
"484","0","15","true"
"485","0","15","true"
"486","0","15","true"
"487","3","15","true"
"488","6","15","true"
"489","12","15","true"
"490","23","15","true"
"491","67","15","true"
"492","480","15","true"
"493","1379","15","true"
"494","1398","15","true"
"495","1351","15","true"
"496","935","15","true"
"497","30","15","true"
"498","0","15","true"
"499","0","15","true"
"500","0","15","true"
"501","0","15","true"
"502","1","15","true"
"503","7","15","true"
"504","10","15","true"
"505","20","15","true"
"506","43","15","true"
"507","296","15","true"
"508","1375","15","true"
"509","1414","15","true"
"510","1390","15","true"
"511","1131","15","true"
"512","49","15","true"
"513","0","15","true"
"514","0","15","true"
"515","0","15","true"
"516","0","15","true"
"517","1","15","true"
"518","3","15","true"
"519","5","15","true"
"520","12","15","true"
"521","29","15","true"
"522","171","15","true"
"523","1373","15","true"
"524","1440","15","true"
"525","1422","15","true"
"526","1278","15","true"
"527","74","15","true"
"528","0","15","true"
"529","0","15","true"
"530","0","15","true"
"531","0","15","true"
"532","2","15","true"
"533","4","15","true"
"534","7","15","true"
"535","11","15","true"
"536","22","15","true"
"537","102","15","true"
"538","1327","15","true"
"539","1452","15","true"
"540","1439","15","true"
"541","1357","15","true"
"542","129","15","true"
"543","0","15","true"
"544","0","15","true"
"545","0","15","true"
"546","0","15","true"
"547","1","15","true"
"548","1","15","true"
"549","1","15","true"
"550","3","15","true"
"551","9","15","true"
"552","55","15","true"
"553","1235","15","true"
"554","1470","15","true"
"555","1463","15","true"
"556","1417","15","true"
"557","237","15","true"
"558","0","15","true"
"559","0","15","true"
"560","0","15","true"
"561","0","15","true"
"562","0","15","true"
"563","0","15","true"
"564","0","15","true"
"565","2","15","true"
"566","7","15","true"
"567","28","15","true"
"568","1100","15","true"
"569","1486","15","true"
"570","1481","15","true"
"571","1460","15","true"
"572","388","15","true"
"573","0","15","true"
"574","0","15","true"
"575","0","15","true"
"576","0","15","true"
"577","0","15","true"
"578","0","15","true"
"579","0","15","true"
"580","0","15","true"
"581","8","15","true"
"582","22","15","true"
"583","862","15","true"
"584","1485","15","true"
"585","1477","15","true"
"586","1463","15","true"
"587","623","15","true"
"588","0","15","true"
"589","0","15","true"
"590","0","15","true"
"591","0","15","true"
"592","0","15","true"
"593","0","15","true"
"594","0","15","true"
"595","1","15","true"
"596","3","15","true"
"597","15","15","true"
"598","574","15","true"
"599","1489","15","true"
"600","1487","15","true"
"601","1475","15","true"
"602","916","15","true"
"603","0","15","true"
